"Estado","Área (Km2)","Ano","","","","","","","","","","","","","","","","","","","","",""
"BA","1034.07","2021","","","","","","","","","","","","","","","","","","","","",""
"DF","2.16","2021","","","","","","","","","","","","","","","","","","","","",""
"GO","320.89","2021","","","","","","","","","","","","","","","","","","","","",""
"MA","1248.36","2021","","","","","","","","","","","","","","","","","","","","",""
"MG","352.89","2021","","","","","","","","","","","","","","","","","","","","",""
"MS","289.63","2021","","","","","","","","","","","","","","","","","","","","",""
"MT","491.47","2021","","","","","","","","","","","","","","","","","","","","",""
"PI","397.18","2021","","","","","","","","","","","","","","","","","","","","",""
"PR","0.13","2021","","","","","","","","","","","","","","","","","","","","",""
"SP","1.43","2021","","","","","","","","","","","","","","","","","","","","",""
"TO","761","2021","","","","","","","","","","","","","","","","","","","","",""
"BA","787.09","2020","","","","","","","","","","","","","","","","","","","","",""
"DF","1.91","2020","","","","","","","","","","","","","","","","","","","","",""
"GO","340.83","2020","","","","","","","","","","","","","","","","","","","","",""
"MA","1207.23","2020","","","","","","","","","","","","","","","","","","","","",""
"MG","264.49","2020","","","","","","","","","","","","","","","","","","","","",""
"MS","202.22","2020","","","","","","","","","","","","","","","","","","","","",""
"MT","628.70","2020","","","","","","","","","","","","","","","","","","","","",""
"PI","355.61","2020","","","","","","","","","","","","","","","","","","","","",""
"PR","0.32","2020","","","","","","","","","","","","","","","","","","","","",""
"SP","9.63","2020","","","","","","","","","","","","","","","","","","","","",""
"TO","835.64","2020","","","","","","","","","","","","","","","","","","","","",""
"BA","767.99","2019","","","","","","","","","","","","","","","","","","","","",""
"DF","3.23","2019","","","","","","","","","","","","","","","","","","","","",""
"GO","507.58","2019","","","","","","","","","","","","","","","","","","","","",""
"MA","768.36","2019","","","","","","","","","","","","","","","","","","","","",""
"MG","372.76","2019","","","","","","","","","","","","","","","","","","","","",""
"MS","181.69","2019","","","","","","","","","","","","","","","","","","","","",""
"MT","810.06","2019","","","","","","","","","","","","","","","","","","","","",""
"PI","412.19","2019","","","","","","","","","","","","","","","","","","","","",""
"PR","0.80","2019","","","","","","","","","","","","","","","","","","","","",""
"SP","2.27","2019","","","","","","","","","","","","","","","","","","","","",""
"TO","1170.22","2019","","","","","","","","","","","","","","","","","","","","",""
